pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name
FS,2025-04-20,85.8,-2.35,5.75,"Rutledge, Jackson",691728,671131,strikeout,swinging_strike,,,,,14,Zac Veen strikes out swinging.,R,L,R,COL,WSH,S,2,,0,2,2025,-0.92,-0.01,0.5306894142483163,1.4405720447771442,,669911,641857,2,7,Bot,,,,,,,8.664826776389349,-124.80234084446624,-3.976670808989848,-11.2264237124946,22.297486282468054,-31.738512591635413,3.49,1.601,,,,86.1,1712,6.3,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.22,,0.0,0.0,1,0,0,,60,3,Split-Finger,2,1,2,1,1,2,2,1,Standard,Standard,236,-0.023,-0.178,69.5,8.1,8.15237694,,0.178,,1,1,0.768,0.768,26,23,26,24,1,3,6,0,3,,3.08,0.92,-0.92,28.3,29.697183813923523,-38.04403233453361,36.64253760590234,33.057665741532006,48.16869022287098,Zac Veen
FS,2025-04-20,84.9,-2.38,5.85,"Rutledge, Jackson",691728,671131,,swinging_strike,,,,,1,,R,L,R,COL,WSH,S,,,0,1,2025,-0.39,0.48,-0.3560526097416389,3.366906053181345,,669911,641857,2,7,Bot,,,,,,,5.515703889469935,-123.72947357139594,-0.5494809949811628,-4.935196550826991,20.79822748208017,-27.31348452094087,3.49,1.601,,,,85.8,1184,6.4,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.09,,,,,,,,60,2,Split-Finger,2,1,2,1,1,2,2,1,Standard,Standard,245,-0.009,-0.057,74.4,6.5,0.1,,0.057,,1,1,0.777,0.777,26,23,26,24,1,3,6,0,3,,2.64,0.39,-0.39,30.2,8.93628280381584,7.803047302668153,23.374443068944316,41.880141396668094,20.9660505036042,Zac Veen
FS,2025-04-20,83.1,-2.31,5.8,"Rutledge, Jackson",691728,671131,,swinging_strike,,,,,4,,R,L,R,COL,WSH,S,,,0,0,2025,-1.09,0.23,-0.3267849046887858,2.4305056938510607,,669911,641857,2,7,Bot,,,,,,,6.7169969164948,-120.93686162385076,-1.7439576924990023,-11.950208568004523,22.556507058079,-29.748859680668296,3.49,1.601,,,,83.7,1214,6.6,778266,660688,605137,671277,677588,683083,695578,696285,686611,53.94,,,,,,,,60,1,Split-Finger,2,1,2,1,1,2,2,1,Standard,Standard,235,-0.006,-0.047,70.5,8.1,0.362700048,,0.047,,1,1,0.783,0.783,26,23,26,24,1,3,6,0,3,,3.05,1.09,-1.09,31.4,22.416941894530837,-26.20252011712418,26.376721669825805,45.37066196687843,53.48287198285084,Zac Veen
FF,2025-04-20,91.8,1.56,5.98,"Poche, Colin",691728,621363,field_out,hit_into_play,,,,,4,Zac Veen lines out sharply to right fielder Dylan Crews.,R,L,L,COL,WSH,X,9,line_drive,0,0,2025,0.15,1.32,-0.6702940146755278,2.493427815870521,,,,2,5,Bot,174.8,86.87,,,,,-6.112642287444887,-133.6060669303374,-6.027780688484183,3.007417918310219,25.251198855276996,-15.237184235387533,3.49,1.601,303,102.0,16,94.2,2277,7.4,778266,660688,605137,671277,677588,683083,695578,696285,686611,53.07,0.519,0.544,0.0,1,0,0,4,43,1,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,165,-0.011,-0.26,73.4,7.7,,0.784,0.26,102.0,1,1,0.671,0.671,31,23,31,24,1,2,1,0,2,,1.36,0.15,0.15,54.5,16.13949396155998,-8.254038570254266,24.5510067496509,46.53909477303293,37.98643824675728,Zac Veen
FF,2025-04-20,96.3,-2.63,5.15,"Lord, Brad",691728,695418,strikeout,swinging_strike,,,,,1,Zac Veen strikes out swinging.,R,L,R,COL,WSH,S,2,,1,2,2025,-0.93,0.63,-0.435175255273759,3.3998600699706483,,,696100,2,3,Bot,,,,,,,7.869396806197452,-140.2426663496355,-0.5906253917838279,-13.930245244573106,26.89930655540816,-23.79693869616593,3.49,1.601,,,,96.3,2260,5.9,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.59,,0.0,0.0,1,0,0,,27,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Strategic,242,-0.019,-0.183,64.2,5.1,1.04795094,,0.183,,-1,-1,0.396,0.396,25,23,25,24,2,1,6,0,6,,1.79,0.93,-0.93,20.4,-13.108879136776938,47.58129750187061,24.389523318784136,44.6107728317123,-0.6898083561871968,Zac Veen
FF,2025-04-20,95.5,-2.56,5.02,"Lord, Brad",691728,695418,,ball,,,,,12,,R,L,R,COL,WSH,B,,,0,2,2025,-1.15,0.47,1.0102069658093185,2.9178433493000453,,,696100,2,3,Bot,,,,,,,11.843355170397164,-138.64101401816447,-0.966477509448724,-17.34599838216334,28.473440350783942,-26.08881564003584,3.48999957800903,1.72149161893255,,,,94.8,2462,5.8,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.65,,,,,,,,27,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Strategic,246,0.003,0.009,,,,,-0.009,,-1,-1,0.393,0.393,25,23,25,24,2,1,6,0,6,,2.03,1.15,-1.15,23.4,,,,,,Zac Veen
FF,2025-04-20,93.9,-2.71,5.06,"Lord, Brad",691728,695418,,swinging_strike,,,,,2,,R,L,R,COL,WSH,S,,,0,1,2025,-1.35,0.78,0.1588400720344172,3.059437979111615,,,696100,2,3,Bot,,,,,,,10.331663292756568,-136.45034816011088,-1.1725065696443508,-19.070003193478907,29.25984958281668,-22.33763025857731,3.49,1.601,,,,93.4,2317,6.0,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.46,,,,,,,,27,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Strategic,251,-0.007,-0.055,44.3,5.8,0.337405056,,0.055,,-1,-1,0.4,0.4,25,23,25,24,2,1,6,0,6,,1.81,1.35,-1.35,18.5,-33.013739159123475,11.526367224827355,31.883229583731637,38.04549530502549,10.840574952623584,Zac Veen
FF,2025-04-20,94.0,-2.69,5.12,"Lord, Brad",691728,695418,,foul_bunt,,,,,1,,R,L,R,COL,WSH,S,,,0,0,2025,-1.1,0.66,-0.7879886912499794,3.554399111408624,,,696100,2,3,Bot,,,,,,,7.335946784877522,-136.91328278961367,0.1053073172957336,-15.414192176155884,25.79048384596109,-23.94558975726953,3.49,1.601,,,,94.2,2161,6.0,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.47,,,,,,,,27,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Strategic,244,-0.004,-0.042,5.3,1.1,,,0.042,88.0,-1,-1,0.404,0.404,25,23,25,24,2,1,6,0,6,,1.88,1.1,-1.1,18.3,-71.1174069616753,12.195923168419188,5.639121178365863,52.02731492118209,15.427564226814251,Zac Veen
FF,2025-04-20,96.7,-2.53,5.02,"Lord, Brad",691728,695418,strikeout,swinging_strike,,,,,4,Zac Veen strikes out swinging.,R,L,R,COL,WSH,S,2,,2,2,2025,-1.25,0.79,-0.7043300269879798,2.781107824586879,,641857,696100,2,1,Bot,,,,,,,7.652727908916679,-140.7770187300724,-2.296510367067156,-18.349155154011548,27.355094211853363,-21.26567595390096,3.49,1.601,,,,96.7,2357,5.9,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.58,,0.0,0.0,1,0,0,,11,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,252,-0.038,-0.203,68.0,5.8,1.344351036,,0.203,,-1,-1,0.435,0.435,25,23,25,24,1,0,6,0,6,,1.62,1.25,-1.25,21.9,-7.550601852631558,44.44649384124921,25.76306393991164,47.16908188766394,-0.0647275830191502,Zac Veen
SL,2025-04-20,86.2,-2.91,5.1,"Lord, Brad",691728,695418,,foul,,,,,7,,R,L,R,COL,WSH,S,,,2,1,2025,0.03,0.05,-0.5526310812173902,2.099835036319644,,641857,696100,2,1,Bot,,,,,,,5.486297483319192,-125.55580390398546,-1.1202537299058128,-0.6348996960482496,20.82426709057259,-31.64083406907666,3.49,1.601,189,78.0,62,86.0,2435,5.7,778266,660688,605137,671277,677588,683083,695578,696285,686611,54.8,,,,,,,,11,4,Slider,0,1,0,1,1,0,0,1,Standard,Standard,125,-0.01,-0.08,68.3,7.4,,,0.08,88.0,-1,-1,0.445,0.445,25,23,25,24,1,0,6,0,6,,2.97,-0.03,0.03,17.0,6.175001816540653,4.401473008921285,31.33632645756962,48.55193246877603,24.0211898349856,Zac Veen
