"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-08-19","99.8","-1.84","6.18","Sasaki, Roki",691728,808963,,"foul",,,,,5,,"R","L","R","COL","LAD","S",,,2,2,2026,"-0.79","0.83",-0.036843814932345564,2.4095058564282548,,,,0,2,"Bot",,,,,,,6.883061503135999,-145.25980313525164,-6.886030661569193,-12.679874598749615,30.346378119779107,-19.089080176133326,3.363057743,1.697244095,232,"77.7",53,"101.6",2473,"7",824318,666163,518692,500743,571771,605141,606192,681624,663656,"53.48",,,,,,,,14,6,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Infield shade","Standard",219,"0","0","70.5","6.5",,,"0","88.0",-1,-1,0.439,0.439,24,24,25,25,1,0,6,1,7,2,"1.44","0.79","-0.79","46.8",2.2454362363584552,7.250042730248641,31.55596695741473,36.789708458844245,29.574499234724176
"SI","2025-04-10","99.8","-1.61","5.69","Uribe, Abner",691728,682842,"field_out","hit_into_play",,,,,9,"Zac Veen grounds out, second baseman Brice Turang to first baseman Jake Bauers. Brenton Doyle to 2nd.","R","L","R","COL","MIL","X",4,"ground_ball",2,0,2025,"-1.09","0.45",0.56901775348204,1.5019777781737018,,,686668,1,7,"Bot",156.88,153.2,,,,,8.618726775996237,-145.09388949965393,-7.3386187137032355,-17.31429547294642,27.620635337440852,-24.463976152820752,3.49,1.601,5,"109.2",-17,"101.2",2218,"6.7",778371,606992,641343,668930,686554,687401,592885,669003,694192,"53.8",0.187,0.173,"0",1,0,0,2,57,3,"Sinker",2,1,2,1,1,2,2,1,"Standard","Standard",220,"-0.022","-0.421","79.9","7.3",,0.23,"0.421","109.2",1,1,0.799,0.799,25,23,25,24,1,3,2,1,2,1,"1.81","1.09","-1.09","34.1",3.0872625409745424,1.4116969328288773,39.169023310791424,32.411069441415776,25.8729571358125
"SI","2025-04-10","99.7","-1.44","5.75","Uribe, Abner",691728,682842,,"ball",,,,,14,,"R","L","R","COL","MIL","B",,,1,0,2025,"-0.97","0.54",1.364058510860131,1.9457331417558419,,,686668,1,7,"Bot",,,,,,,10.028875656870708,-144.84327516288616,-6.428385355623836,-15.800611867271128,28.858547389676023,-23.359300948079422,3.5356229988932,1.7160638339631,,,,"100.7",2139,"6.6",778371,606992,641343,668930,686554,687401,592885,669003,694192,"53.88",,,,,,,,57,2,"Sinker",2,1,2,1,1,2,2,1,"Standard","Standard",222,"0.006","0.068",,,,,"-0.068",,1,1,0.793,0.793,25,23,25,24,1,3,2,1,2,1,"1.74","0.97","-0.97","32.0",,,,,
"FF","2026-08-28","99.2","-2.47","5.48","Mederos, Victor",691728,682989,,"ball",,,,,12,,"R","L","R","ATL","COL","B",,,1,2,2026,"-0.9","1.07",0.06353756384994325,3.8755927349748513,,,,1,8,"Top",,,,,,,9.019410052631201,-144.27064432491886,-1.4034045417635277,-14.598141593106376,31.273508000813433,-17.073094566987994,3.363057743,1.697244095,,,,"99.9",2376,"6.6",824877,669221,621566,645277,643289,673490,657041,671739,660670,"53.95",,,,,,,,71,5,"4-Seam Fastball",6,4,4,6,4,6,4,6,"Strategic","Standard",228,"-0.003","0.052",,,,,"-0.052",,2,-2,0.907,0.093,25,24,25,25,1,3,2,1,2,1,"1.24","0.9","-0.9","30.6",,,,,
"FF","2026-08-29","98.9","-2.09","5.16","Fuentes, Didier",691728,800311,"strikeout","swinging_strike",,,,,11,"Zac Veen strikes out swinging.","R","L","R","ATL","COL","S",2,,0,2,2026,"-0.67","1.27",-0.6568824559811645,3.847893457817764,,650489,690022,1,9,"Top",,,,,,,5.533542393476111,-143.9811839696838,-1.0584282699162666,-10.633767759517362,31.72796782594282,-14.42025312520773,3.363057743,1.697244095,,,,"100.3",2008,"6.9",824874,686948,621566,645277,663586,643289,573262,671739,660670,"53.58",,0,"0",1,0,0,,70,3,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",219,"0.086","-0.143","51.8","5.1","2.705639352",,"0.143",,1,-1,0.768,0.232,21,24,21,25,1,0,3,1,,1,"1.05","0.67","-0.67","29.3",-5.520910666413646,44.3829922782045,21.729421708061867,43.90764597851804,9.568503313872835
"FF","2026-08-30","98.5","-2.64","5.46","Mederos, Victor",691728,682989,,"foul",,,,,12,,"R","L","R","ATL","COL","S",,,0,0,2026,"-0.79","1.14",0.1866090964252276,3.7895441536427796,,666160,,2,10,"Top",,,,,,,9.498888551414648,-143.18143483539768,-1.6271461603140356,-13.070711049659321,32.28318376377576,-16.29909204847228,3.363057743,1.697244095,,,,"99.2",2466,"6.7",824876,669221,621566,645277,663586,643289,573262,671739,660670,"53.83",,,,,,,,74,1,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Strategic","Standard",234,"-0.01","-0.038","67.5","5.7",,,"0.038",,0,0,0.705,0.295,25,24,25,25,1,0,2,1,2,1,"1.21","0.79","-0.79","29.0",6.6363362344969135,15.799684066839136,22.136866950392882,34.15526221296395,27.526452414703964
"FF","2026-08-19","98.1","-1.97","6.1","Sasaki, Roki",691728,808963,"strikeout","swinging_strike",,,,,2,"Zac Veen strikes out swinging.","R","L","R","COL","LAD","S",2,,1,2,2026,"-0.82","1.01",-0.26235155928558274,3.3006797212353334,,,681198,0,4,"Bot",,,,,,,6.57801322468901,-142.8375092566729,-4.39019975066626,-12.708627007276995,29.642908392787188,-17.53853730570505,3.363057743,1.697244095,,,,"99.8",2431,"7",824318,666163,518692,500743,571771,605141,606192,681624,663656,"53.51",,0,"0",1,0,0,,36,4,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Infield shade","Standard",227,"-0.022","-0.174","64.3","5.6","0.521599308",,"0.174",,-4,-4,0.169,0.169,24,24,25,25,2,1,6,1,7,2,"1.34","0.82","-0.82","44.1",-1.1856012261720819,33.55457453701435,32.241732583850265,39.864252975470926,9.404849333482801
"SI","2025-04-15","97.9","-2.05","6.3","García, Luis",691728,472610,,"foul",,,,,6,,"R","L","R","LAD","COL","S",,,1,2,2025,"-1.16","0.9",0.41952737017096364,2.6002367486113793,,,,0,9,"Top",,,,,,,9.345243014453521,-142.13863345516566,-6.563212738141262,-17.853341403144533,33.08057038626357,-18.616837322580082,3.49,1.601,209,"71.9",27,"98",2035,"6.5",778302,669257,518692,571771,571970,605141,621035,669242,681624,"53.98",,,,,,,,77,6,"Sinker",6,2,2,6,2,6,2,6,"Infield shade","Standard",208,"0","0",,,,,"0","88.0",4,-4,0.988,0.012,38,23,38,24,1,3,3,1,5,5,"1.49","1.16","-1.16","48.9",,,,,
"FF","2026-08-24","97.9","-1.76","6.04","Cavalli, Cade",691728,676917,"strikeout","swinging_strike",,,,,4,"Zac Veen strikes out swinging.","R","L","R","WSH","COL","S",2,,1,2,2026,"-0.58","1.25",-0.6392410300242031,2.384174445284719,,,,0,3,"Top",,,,,,,4.3433843167273185,-142.5580153606386,-7.154201418204868,-8.905771176829873,30.05035969214827,-13.630907804466545,3.363057743,1.697244095,,,,"98.3",2204,"6.3",822695,660688,694673,678391,691781,683083,695734,696285,686611,"54.2",,0,"0",1,0,0,,17,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",216,"0.018","-0.186","69.5","6.8","1.36127682",,"0.186",,0,0,0.507,0.493,27,24,28,25,1,0,5,2,5,2,"1.1","0.58","-0.58","37.7",1.7807426014841583,20.803312544758196,29.05900920127062,45.29147236553033,20.57964150579379
"FF","2026-08-19","97.6","-1.91","6.05","Sasaki, Roki",691728,808963,,"foul_tip",,,,,4,,"R","L","R","COL","LAD","S",,,1,0,2026,"-0.67","1.03",-0.407037780866487,2.231232752561564,,,681198,0,4,"Bot",,,,,,,5.666014028118945,-142.19486154715332,-7.190005204281176,-10.296223970883888,24.87858813802207,-16.845253761472613,3.363057743,1.697244095,,,,"100.1",2369,"7.1",824318,666163,518692,500743,571771,605141,606192,681624,663656,"53.43",,,,,,,,36,2,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",224,"-0.008","-0.053","73.3","6.7",,,"0.053",,-4,-4,0.185,0.185,24,24,25,25,2,1,6,1,7,2,"1.31","0.67","-0.67","46.1",1.2127471209551322,22.43821327798503,34.66032563383187,42.86807282750446,19.892094681927155
